species	decimalLongitude	decimalLatitude
Felis catus	-85.740735	10.032956
Canis lupus	-83.80843	9.286715
Dasyprocta punctata	-82.765213	9.65457
Ateles geoffroyi	-83.271906	8.404935
Artibeus phaeotis	-85.379826	10.162094
Nasua narica	-84.819975	10.309995
Mazama temama	-83.776386	9.729199
Saimiri oerstedii	-84.173105	9.598988
Choloepus hoffmanni	-82.83891	9.736496
Ateles geoffroyi	-83.581529	8.427044
Ectophylla alba	-84.138608	10.560665
Sphiggurus mexicanus	-83.883745	9.66833
Ateles geoffroyi	-83.561512	10.486467
Cebus imitator	-85.405807	10.355313
Choloepus hoffmanni	-84.077058	9.83352
Sciurus granatensis	-84.272627	10.253151
Tamandua mexicana	-83.595925	8.482433
Alouatta palliata	-83.501372	10.537622
Cebus imitator	-84.136988	9.392308
Chironectes minimus	-84.106063	10.402476
Nasua narica	-83.87674	9.273624
Alouatta palliata	-83.267995	10.208399
Rhynchonycteris naso	-85.342717	10.772812
Cebus imitator	-84.198517	9.468879
Dasyprocta punctata	-83.201466	8.700918
Alouatta palliata	-84.773273	10.895414
Rhynchonycteris naso	-83.201027	8.697042
Cebus imitator	-83.336644	8.403686
Cebus imitator	-84.153629	9.402975
Saimiri oerstedii	-84.091482	9.375504
Nasua narica	-83.582247	8.456505
Potos flavus	-84.8281	10.32968
Tapirella bairdii	-83.627137	8.662564
Cebus imitator	-84.13913	9.384164
Dasyprocta punctata	-83.07455	8.639701
Alouatta palliata	-85.28794	10.529497
Sciurus variegatoides	-85.841637	10.300075
Odocoileus virginianus	-84.144369	9.384009
Caluromys derbianus	-83.841808	9.23645
Nasua narica	-84.168572	10.223387
Alouatta palliata	-84.004844	10.431233
Alouatta palliata	-85.563454	10.264567
Procyon lotor	-82.827462	9.734892
Sciurus granatensis	-82.815972	9.750003
Bradypus variegatus	-83.753428	9.74619
Ateles geoffroyi	-83.505581	10.558985
Rhynchonycteris naso	-84.121433	10.415465
Alouatta palliata	-85.165844	10.272188
Dasyprocta punctata	-83.401471	8.520629
Choloepus hoffmanni	-82.963641	9.755068
Eira barbara	-83.285326	8.386914
Ectophylla alba	-84.105585	10.485828
Choloepus hoffmanni	-83.47539	8.6902
Nasua narica	-84.714193	10.436614
Cebus imitator	-84.00773	10.429517
Ateles geoffroyi	-83.482161	8.562036
Alouatta palliata	-83.293566	8.380022
Cebus imitator	-84.503451	9.950976
Cebus imitator	-82.82698	9.73513
Pecari tajacu	-84.01271	10.430434
Cebus imitator	-83.336605	8.403231
Saimiri oerstedii	-84.080853	9.325466
Bradypus variegatus	-84.108507	10.448343
Nasua narica	-85.403826	10.798112
Choloepus hoffmanni	-83.786445	10.439677
Cebus imitator	-84.66959	9.990932
Dasyprocta punctata	-84.809881	10.312178
Sciurus variegatoides	-84.21417	10.015939
Rhynchonycteris naso	-83.453622	8.853932
Ateles geoffroyi	-84.613122	10.558796
Odocoileus virginianus	-84.892275	9.774949
Dasyprocta punctata	-84.822747	10.31793
Dasyprocta punctata	-83.331068	8.653832
Stenella attenuata	-84.28	8.62
Zygodontomys brevicauda	-83.08	9.08
Delphinus delphis	-84.28	8.23
Delphinus delphis	-84	8.42
Stenella attenuata	-84.17	9
Delphinus delphis	-84	8.42
Zygodontomys brevicauda	-83.08	9.08
Stenella longirostris	-86.05	9.97
Centronycteris centralis	-83.53	10.6
Stenella attenuata	-84.15	8.67
Zygodontomys brevicauda	-83.08	9.08
Cryptotis gracilis	-83.7	9.55
Stenella attenuata	-84.15	8.67
Zygodontomys brevicauda	-83.08	9.08
Artibeus watsoni	-83.53	10.6
Oryzomys alfaroi	-83.08	9.08
Cebus imitator	-84.141619	9.387395
Dasyprocta punctata	-83.615098	9.848789
Dasyprocta punctata	-84.650751	10.470371
Bradypus variegatus	-83.814904	10.202864
Myotis riparius	-84.808411	10.307559
Dasyprocta punctata	-84.137527	9.384924
Tonatia saurophila	-83.14563	8.662661
Sciurus variegatoides	-84.002274	10.434499
Nasua narica	-84.804825	10.304716
Alouatta palliata	-85.133911	10.278309
Saimiri oerstedii	-84.148474	9.401186
Megaptera novaeangliae	-83.828312	9.171241
Cebus capucinus	-82.835974	9.731861
Cebus capucinus	-84.13903	9.383173
NA	-85	9.5
NA	-88	3.083
NA	-88	6.3
NA	-84.1	8
NA	-88	5.333
Delphinus delphis	-86.32	8.93
Delphinus delphis	-83.9	7.57
Stenella attenuata	-84.15	8.67
Stenella coeruleoalba	-86.5	7
Peromyscus mexicanus	-83.8	9.917
Heteromys desmarestianus	-85.3	10.767
Peromyscus mexicanus	-84.233	10.183
Platyrrhinus helleri	-83.533	10.6
Oryzomys alfaroi	-84.817	10.267
Peromyscus nudipes	-83.8	9.583
Nephelomys albigularis	-84.233	10.183
Reithrodontomys creper	-84.233	10.183
Scotinomys xerampelinus	-83.833	9.983
Nephelomys albigularis	-84.333	10.217
Orcinus orca	-84.234924	8.231029
Orcinus orca	-83.737828	8.723166
Orcinus orca	-83.737828	8.723166
Orcinus orca	-83.872238	8.406706
Alouatta palliata	-83.308382	8.502381
Sciurus granatensis	-83.798789	9.586351
Nasua narica	-83.592381	8.470906
Nasua narica	-84.803606	10.310665
Nasua narica	-83.570964	8.540835
Sciurus variegatoides	-84.068091	10.450132
Alouatta palliata	-83.497	10.453309
Sciurus variegatoides	-82.841721	9.72475
Saccopteryx bilineata	-83.204598	8.697273
Dasyprocta punctata	-85.404804	10.797265
Sciurus variegatoides	-84.858991	10.269781
Alouatta palliata	-84.819562	10.310256
Bradypus variegatus	-83.953178	10.334077
Mustela frenata	-83.805402	9.550004
Bradypus variegatus	-83.881447	9.271203
Vampyriscus nymphaea	-84.123672	10.416317
Thyroptera discifera	-83.139252	8.660933
Desmodus rotundus	-84.804091	10.307499
Bradypus variegatus	-82.735219	9.642829
Alouatta palliata	-85.524033	9.882783
Sciurus granatensis	-84.167213	10.222221
Sciurus variegatoides	-84.068466	10.450575
Alouatta palliata	-84.7532	10.4921
Alouatta palliata	-84.469625	10.619214
Alouatta palliata	-84.899121	9.829629
Sciurus variegatoides	-84.068698	10.450548
Alouatta palliata	-83.519749	10.57097
Saccopteryx leptura	-84.005678	10.436136
Choloepus hoffmanni	-82.832245	9.734395
Choloepus hoffmanni	-82.852615	9.743246
Nasua narica	-83.56383	9.832041
Odocoileus virginianus	-84.144874	9.390821
Nasua narica	-84.710151	10.43823
Odocoileus virginianus	-85.335558	10.346812
Choloepus hoffmanni	-84.004852	10.432956
Tamandua mexicana	-83.506079	8.447922
Dasyprocta punctata	-85.475457	10.738189
Dasyprocta punctata	-84.068147	10.45287
Choloepus hoffmanni	-82.831478	9.733206
Sciurus granatensis	-82.679878	9.637248
NA	-83.666667	9.933333
Bradypus variegatus	-83.505875	10.547559
Saimiri oerstedii	-84.141541	9.383694
Bradypus variegatus	-83.027458	9.991167
Alouatta palliata	-84.728203	10.459622
Alouatta palliata	-84.793167	10.302505
Eira barbara	-84.796028	10.343777
Choloepus hoffmanni	-83.251007	10.183385
Alouatta palliata	-85.458183	10.677477
Alouatta palliata	-85.123932	10.45636
Choloepus hoffmanni	-84.796028	10.343777
Dasyprocta punctata	-84.6035	9.771492
Bradypus variegatus	-84.141541	9.383694
Alouatta palliata	-83.946533	10.149366
Bradypus variegatus	-82.862709	9.748034
Sylvilagus brasiliensis	-85.354156	10.732128
Cebus capucinus	-84.141541	9.383694
Alouatta palliata	-82.817688	9.737482
Sphiggurus mexicanus	-84.892044	10.511442
Sciurus variegatoides	-84.113014	10.752411
Alouatta palliata	-84.728203	10.459622
NA	-88.8	8.77
Delphinus delphis	-88.8	8.77
Delphinus delphis	-88.83	8.82
Stenella coeruleoalba	-88.52	8.33
NA	-88.52	8.33
NA	-88.55	8.2
NA	-88.7	8.67
NA	-88.68	8.63
Tursiops truncatus	-88.68	8.62
Globicephala macrorhynchus	-88.68	8.62
Delphinus delphis	-88.68	8.62
NA	-88.62	8.5
NA	-88.6	8.45
Kogia sima	-88.53	8.37
Tursiops truncatus	-87.47	7.55
Stenella coeruleoalba	-85.55	4.77
NA	-85.57	4.8
Tursiops truncatus	-87.07	5.52
Stenella coeruleoalba	-87.07	5.62
Steno bredanensis	-87.05	5.68
NA	-87.07	5.68
Stenella attenuata	-87.07	5.7
Stenella longirostris	-87.07	5.7
NA	-87.08	5.77
Physeter macrocephalus	-87.47	7.55
Delphinus delphis	-89.97	6.32
NA	-87.48	7.62
NA	-87.52	7.73
Stenella longirostris	-87.55	7.85
Stenella attenuata	-87.55	7.85
Stenella coeruleoalba	-87.52	7.9
NA	-87.62	8.08
Orcinus orca	-87.8	8.45
NA	-88.03	8.27
Stenella longirostris	-88.08	8.22
NA	-88.18	7.6
Kogia sima	-88.15	7.6
Kogia sima	-88.13	7.57
Grampus griseus	-88.12	7.53
Tursiops truncatus	-88.47	8.13
Globicephala macrorhynchus	-88.47	8.13
Ziphius cavirostris	-88.23	7.75
NA	-88.2	7.67
NA	-88.2	7.65
Stenella coeruleoalba	-88.2	7.65
NA	-88.2	7.65
Grampus griseus	-88.07	7.45
Ziphius cavirostris	-88.07	7.45
Stenella coeruleoalba	-88.07	7.38
Tursiops truncatus	-87.05	5.43
NA	-84.53	3.98
Grampus griseus	-84.83	4.25
Stenella coeruleoalba	-84.85	4.32
Stenella coeruleoalba	-85.22	4.6
NA	-85.38	4.68
Tursiops truncatus	-85.47	4.73
Grampus griseus	-85.47	4.73
NA	-85.55	4.77
Cebus imitator	-83.517504	8.447762
Sciurus variegatoides	-84.586937	9.82013
Bradypus variegatus	-84.652938	10.471308
Nasua narica	-85.085913	9.665233
Bradypus variegatus	-84.02203	10.423268
Sciurus variegatoides	-85.401883	10.797043
Alouatta palliata	-83.589436	8.480228
Alouatta palliata	-84.158926	9.408119
Sciurus variegatoides	-84.819095	10.308879
Cebus imitator	-83.714914	8.667825
Saimiri oerstedii	-83.226887	8.496812
Diclidurus albus	-84.601732	9.793827
Cebus imitator	-84.100175	10.028734
Ateles geoffroyi	-83.431343	8.463747
Nasua narica	-85.303264	10.764797
Cebus imitator	-83.435588	8.439745
Sphiggurus mexicanus	-84.795636	10.343562
Sciurus variegatoides	-84.582888	9.781317
Cebus imitator	-84.338096	10.102942
Cebus imitator	-84.145091	9.39092
Cuniculus paca	-84.006746	10.42635
Nasua narica	-83.293566	8.380022
Choloepus hoffmanni	-83.232383	10.16233
Rhynchonycteris naso	-84.479738	10.494461
Dasyprocta punctata	-85.134262	9.577287
Sciurus variegatoides	-84.211294	10.000858
Choloepus hoffmanni	-84.004324	10.431155
Choloepus hoffmanni	-84.653421	10.469112
Bradypus variegatus	-84.149792	9.401183
Saimiri oerstedii	-83.660906	8.682641
Nasua narica	-85.711451	10.521257
Alouatta palliata	-84.828195	10.33122
Cebus imitator	-84.136988	9.392308
Choloepus hoffmanni	-84.136988	9.392308
Saimiri oerstedii	-84.032209	9.521294
Dasyprocta punctata	-84.5806	9.7807
Saimiri oerstedii	-84.131748	9.572425
Nasua narica	-83.592483	8.469364
Cebus imitator	-84.719341	11.021193
Bradypus variegatus	-83.863725	9.293297
Uroderma bilobatum	-83.3303	8.696646
Ectophylla alba	-84.164547	10.549852
Sciurus variegatoides	-85.44613	10.62468
Nasua narica	-83.750798	9.946228
Rhynchonycteris naso	-84.565122	10.432318
Cebus imitator	-84.928425	9.78937
Bradypus variegatus	-84.049094	9.936533
Sciurus variegatoides	-83.957172	9.323153
Pecari tajacu	-84.006183	10.429959
Artibeus jamaicensis	-84.602062	9.795626
Bradypus variegatus	-84.689378	10.499437
Nasua narica	-84.735552	10.469794
Alouatta palliata	-85.65786	9.963221
Choloepus hoffmanni	-82.782242	9.725893
Thyroptera discifera	-83.1407	8.654682
Bradypus variegatus	-84.141554	9.38364
Sciurus variegatoides	-85.792564	10.440624
Choloepus hoffmanni	-84.639588	10.471188
Sciurus variegatoides	-85.840935	10.301282
Bradypus variegatus	-84.700073	10.530098
Saimiri oerstedii	-83.398759	8.577564
Ateles geoffroyi	-83.317218	8.394075
Alouatta palliata	-85.676537	9.964983
Cebus imitator	-83.572359	10.530929
Ateles geoffroyi	-84.61137	10.95447
Alouatta palliata	-84.626522	9.777107
Alouatta palliata	-84.79567	10.89241
Dasyprocta punctata	-84.136988	9.392308
Sciurus variegatoides	-84.136988	9.392308
Saimiri oerstedii	-83.276255	8.446724
Dasypus novemcinctus	-84.124016	10.416342
Pecari tajacu	-83.588996	8.480321
Panthera onca	-84.171909	10.565713
Ateles geoffroyi	-83.342843	8.340851
Nasua narica	-84.927871	9.787058
Bradypus variegatus	-84.637375	10.479463
Cebus imitator	-83.496096	8.857837
Cebus imitator	-84.146484	9.390499
Procyon lotor	-82.809304	9.744487
Cebus imitator	-82.82595	9.726252
Sciurus variegatoides	-84.824166	10.272874
Dasyprocta punctata	-84.708233	10.43649
Pecari tajacu	-84.006073	10.431018
Procyon lotor	-82.838992	9.736527
Alouatta palliata	-85.618203	10.839217
Alouatta palliata	-83.515229	10.549804
Ateles geoffroyi	-83.563583	10.463497
Bradypus variegatus	-84.14233	9.38243
Melanomys caliginosus	-83.96045	9.742842
Sciurus variegatoides	-85.349146	10.773383
Nasua narica	-83.489211	8.447928
Ateles geoffroyi	-83.210996	8.200479
Pecari tajacu	-84.724588	10.483338
Choloepus hoffmanni	-82.832108	9.733929
Trachops cirrhosus	-83.333619	8.406334
Pecari tajacu	-84.0128	10.4288
Sciurus variegatoides	-83.656659	9.896553
Sciurus variegatoides	-83.201572	8.701037
Alouatta palliata	-84.66892	10.43907
Pecari tajacu	-84.007622	10.42958
Ateles geoffroyi	-84.670597	10.574592
Dasyprocta punctata	-84.141735	9.383963
Alouatta palliata	-85.343761	10.77464
Choloepus hoffmanni	-84.145209	9.381534
Alouatta palliata	-84.300682	9.975391
Dasypus novemcinctus	-84.924862	9.786843
Cebus imitator	-82.809128	9.744753
Choloepus hoffmanni	-84.169261	9.397464
Nasua narica	-84.142975	9.385575
Puma concolor	-83.557658	8.546267
Dasyprocta punctata	-84.925728	9.783433
Odocoileus virginianus	-85.599975	10.891519
Dasyprocta punctata	-83.545178	9.813526
Dasyprocta punctata	-83.659649	9.083621
Cebus imitator	-83.283513	8.403353
Cebus imitator	-84.814467	10.310392
Tursiops truncatus	-83.762513	9.066159
Pecari tajacu	-84.006335000000007	10.431051
Urocyon cinereoargenteus	-84.018954	9.916995
Dasyprocta punctata	-82.851469	9.741695
Saimiri oerstedii	-83.439833	8.802716
Cebus imitator	-83.753428	9.74619
Nasua narica	-84.729428	10.45088
Tapirella bairdii	-83.470195	8.599849
Cebus imitator	-83.958625	9.318233
Tamandua mexicana	-83.509844	10.547045
Ateles geoffroyi	-83.345164	10.336057
Sciurus granatensis	-84.161432	10.20449
Nasua narica	-83.49102	8.448943
Pecari tajacu	-84.023505	10.42056
Dasyprocta punctata	-82.96189	8.785317
Nasua narica	-84.710406	10.437989
Cebus imitator	-84.669581	9.990941
Sciurus variegatoides	-85.675616	10.576234
Pecari tajacu	-84.754687	10.48781
Sciurus variegatoides	-84.210967	10.011775
Cebus imitator	-83.513927	10.540976
Lontra longicaudis	-83.332381	8.413052
Cebus imitator	-85.338333	10.345203
Alouatta palliata	-84.003765	10.435855
Dasypus novemcinctus	-84.007645	10.43067
Cebus imitator	-84.735437	10.477162
Bradypus variegatus	-82.819191	9.741409
Bradypus variegatus	-84.142808	9.384997
Nasua narica	-84.706269	10.462711
Sciurus variegatoides	-84.82551	10.274968
Cebus imitator	-84.142612	9.390068
Procyon lotor	-84.144879	9.381463
Saimiri oerstedii	-83.30517	8.216319
Dasyprocta punctata	-84.15975	9.407718
Cebus imitator	-84.153946	9.398753
Nasua narica	-84.5806	9.7807
Dasyprocta punctata	-84.806539	10.299189
Cebus imitator	-83.29802	8.513853
Nasua narica	-84.758263	10.469027
Alouatta palliata	-85.068717	9.651611
Nasua narica	-83.578016	9.47189
Uroderma bilobatum	-84.144077	9.386754
Dasypus novemcinctus	-83.134175	8.356372
Centurio senex	-85.719958	10.975439
Choloepus hoffmanni	-82.70123	9.637825
Tamandua mexicana	-85.098523	9.668708
Bradypus variegatus	-83.645234	8.706327
Nasua narica	-83.601244	8.483203
Tamandua mexicana	-83.595518	8.484709
Ateles geoffroyi	-83.342478	8.271798
Choloepus hoffmanni	-84.155385	9.409262
Dasyprocta punctata	-83.204765	8.697328
Centurio senex	-83.314819	8.424829
Delphinus delphis	-84.283115	7.443039
Sphiggurus mexicanus	-85.040876	10.766707
Cebus imitator	-84.801235	10.313948
Rhynchonycteris naso	-84.769583	10.8954
Rhynchonycteris naso	-83.506923	10.448877
Procyon lotor	-84.146	9.389005
Nasua narica	-84.710367	10.438022
Cebus imitator	-84.15425	9.395113
Ateles geoffroyi	-83.430736	10.478635
Sciurus variegatoides	-85.071622	10.71205
Procyon lotor	-84.145628	9.383374
Potos flavus	-84.079808	10.434719
Nasua narica	-84.269543	10.255596
Saimiri oerstedii	-83.486299	8.558325
Alouatta palliata	-84.142817	9.382166
Cebus imitator	-85.33875	10.345192
Artibeus lituratus	-84.184965	9.949326
Cebus imitator	-85.334297	10.383413
Dasyprocta punctata	-84.604629	9.774445
Choloepus hoffmanni	-84.706426	9.983153
Tapirella bairdii	-83.543518	8.563898
Bradypus variegatus	-84.703601	10.463577
Felis catus	-85.799092	10.173598
Cebus imitator	-82.650197	9.634449
Tapirella bairdii	-83.413396	8.442941
Dasyprocta punctata	-84.825717	10.278209
Dasyprocta punctata	-84.710182	10.43798
Tamandua mexicana	-83.498492	8.448697
Alouatta palliata	-84.807954	10.336273
Dasypus novemcinctus	-84.800351	10.341489
Alouatta palliata	-84.489431	10.486766
Odocoileus virginianus	-84.548602	10.033116
Choloepus hoffmanni	-84.067647	10.450033
Pecari tajacu	-83.598505	8.490205
Choloepus hoffmanni	-82.801206	9.667499
Tamandua mexicana	-83.628852	8.611399
Tursiops truncatus	-83.375461	8.731945
Choloepus hoffmanni	-82.737672	9.650983
Alouatta palliata	-83.511716	10.542816
Choloepus hoffmanni	-84.136988	9.392308
Megaptera novaeangliae	-83.301601	8.617683
Ateles geoffroyi	-84.675164	10.473662
Sciurus variegatoides	-85.349546	10.776715
Bradypus variegatus	-83.810974	9.224141
Dasyprocta punctata	-82.960004	8.786523
Nasua narica	-83.422236	8.732301
Caluromys derbianus	-84.120618	10.415826
Dasyprocta punctata	-84.582888	9.781317
Leopardus pardalis	-85.206241	9.897284
Dasypus novemcinctus	-84.064534	10.449026
Nasua narica	-85.338508	10.34532
Alouatta palliata	-83.896095	10.303329
Cebus imitator	-84.005815	10.430811
Alouatta palliata	-85.360368	10.485247
Nasua narica	-85.675574	10.627577
Sciurus variegatoides	-83.850725	9.979248
Bradypus variegatus	-83.351979	10.029641
Artibeus watsoni	-84.123822	10.416451
Trachops cirrhosus	-84.564034	9.782331
Nasua narica	-85.369636	10.506064
Cebus imitator	-84.592636	9.799119
Nasua narica	-84.769578	10.476069
Cebus imitator	-85.092885	9.587534
Cebus imitator	-85.692803	10.611012
Cebus imitator	-85.318087	10.338818
Thyroptera tricolor	-83.589074	8.480086
Sciurus variegatoides	-85.067785	9.654508
Odocoileus virginianus	-84.136988	9.392308
Cebus imitator	-85.411939	10.366081
Bradypus variegatus	-83.550872	8.85025
Nasua narica	-84.141701	9.3814
Ateles geoffroyi	-83.711044	10.409042
Cebus imitator	-84.812737	10.305033
Dasyprocta punctata	-84.316678	10.204388
Cebus imitator	-85.366195	10.512874
Saimiri oerstedii	-83.154607	8.798274
Ateles geoffroyi	-83.409548	8.596628
Cebus imitator	-83.734834	8.620709
Pecari tajacu	-84.895693	9.773376
Panthera onca	-84.744394	10.239703
Nasua narica	-84.798996	10.284028
Saccopteryx leptura	-84.145036	9.381797
Alouatta palliata	-83.472744	8.613601
Alouatta palliata	-84.708302	10.418293
Sciurus granatensis	-83.8509	9.644
Dasypus novemcinctus	-84.543767	9.742086
Bassaricyon gabbii	-84.795726	10.303938
Bradypus variegatus	-84.667499	10.442694
Saimiri oerstedii	-84.160418	9.262625
Bradypus variegatus	-84.143789	9.387645
Pecari tajacu	-85.33805	10.345097
Rhynchonycteris naso	-84.111097	10.443267
Saimiri oerstedii	-83.236087	8.518383
Tapirella bairdii	-83.242493	8.577655
Artibeus toltecus	-84.696183	10.169092
Nasua narica	-83.722016	9.189533
Cebus imitator	-85.341592	10.343953
Odocoileus virginianus	-84.605923	9.781125
Cebus imitator	-84.143958	9.386029
Bradypus variegatus	-84.144403	9.387534
Cebus imitator	-84.144583	9.389817
Cebus imitator	-83.018521	9.753788
Saimiri oerstedii	-83.588988	8.997103
Dasyprocta punctata	-84.15276	9.403365
Uroderma bilobatum	-84.642676	10.477879
Mazama temama	-83.591047	8.474605
Cebus imitator	-85.734082	11.036602
Bradypus variegatus	-84.618798	10.382302
Nasua narica	-83.591387	8.47327
Nasua narica	-84.142897	9.385503
Dasyprocta punctata	-82.959046	8.784399
Cebus imitator	-85.048108	9.670776
Dasypus novemcinctus	-84.836089	10.317881
Alouatta palliata	-85.192465	9.692314
Alouatta palliata	-84.756345	10.489348
Tamandua mexicana	-83.505758	10.550362
Choloepus hoffmanni	-84.628533	10.481666
Nasua narica	-84.776431	9.98555
Sciurus granatensis	-82.838922	9.736383
Ateles geoffroyi	-84.615039	10.90338
Sus scrofa	-85.68222	10.002803
Thyroptera tricolor	-83.400639	8.413523
Bos taurus	-85.646988	10.479689
Dasyprocta punctata	-84.810692	10.305219
Nasua narica	-84.143897	9.389387
Bradypus variegatus	-85.011617	10.664395
Spilogale angustifrons	-84.924046	9.792374
Alouatta palliata	-83.738105	9.151483
Sciurus variegatoides	-84.174842	9.973458
Alouatta palliata	-83.508689	10.553664
Alouatta palliata	-84.660522	10.460909
Ateles geoffroyi	-83.371323	8.5372
Alouatta palliata	-85.837106	10.299275
Dasypus novemcinctus	-84.811372	10.306018
Sciurus granatensis	-83.563328	9.831459
Canis latrans	-84.14879	10.168626
Nasua narica	-84.817749	10.317183
Dasyprocta punctata	-84.808196	10.305944
Alouatta palliata	-84.721116	10.996404
Ateles geoffroyi	-84.789266	10.548014
Nasua narica	-84.753561	10.488249
Cebus imitator	-82.832247	9.734346
Tamandua mexicana	-83.588531	8.482745
Rhynchonycteris naso	-83.56775	8.850446
Alouatta palliata	-85.761123	10.531231
Alouatta palliata	-83.504848	10.539053
Nasua narica	-84.734115	10.459024
Bradypus variegatus	-84.136988	9.392308
Nyctomys sumichrasti	-84.004541	10.433063
Cebus imitator	-83.124321	8.816495
Choloepus hoffmanni	-84.827283	10.316423
Tapirella bairdii	-83.475475	8.526176
Choloepus hoffmanni	-84.158926	9.408119
Cebus imitator	-83.57438	10.504214
Cebus imitator	-83.873109	9.294546
Bradypus variegatus	-83.778518	10.202
Dasyprocta punctata	-85.690598	10.806006
Alouatta palliata	-85.739577	10.030227
Artibeus lituratus	-83.726457	8.638229
Nasua narica	-83.579366	9.472225
Nasua narica	-84.117785	10.39777
Cebus imitator	-84.589973	9.939224
Choloepus hoffmanni	-83.527207	10.583566
Cebus imitator	-84.79569	10.30264
Nasua narica	-85.803842	10.401978
Choloepus hoffmanni	-84.703601	10.463577
Alouatta palliata	-85.041161	10.138872
Rhynchonycteris naso	-84.720438	11.020096
Bradypus variegatus	-84.144105	9.388827
Nasua narica	-84.815757	10.313099
Sciurus variegatoides	-84.610865	9.808972
Alouatta palliata	-83.570964	8.540835
Alouatta palliata	-83.510233	10.550098
Choloepus hoffmanni	-83.691398	10.208613
Dasyprocta punctata	-84.003848	10.434103
Saimiri oerstedii	-83.732641	8.650316
Pecari tajacu	-83.615948	8.51639
Alouatta palliata	-85.52735	9.884347
Dasypus novemcinctus	-84.796158	10.302359
Sciurus variegatoides	-84.630805	9.617383
Tamandua mexicana	-85.008547	10.714129
Saccopteryx bilineata	-83.753428	9.748917
Tapirella bairdii	-83.465653	8.57361
Sciurus variegatoides	-84.630223	9.614842
Pecari tajacu	-84.678125	10.5018
Rhynchonycteris naso	-84.721555	10.992939
Dasyprocta punctata	-83.505056	8.682319
Procyon lotor	-83.468583	10.101291
Saimiri oerstedii	-83.126983	8.609618
Tamandua mexicana	-83.750599	9.178534
Artibeus jamaicensis	-83.330703	8.698097
Alouatta palliata	-85.200478	10.331985
Nasua narica	-84.988092	10.712217
Cebus imitator	-85.755013	10.528222
Alouatta palliata	-82.698296	9.62233
Cebus imitator	-83.280585	8.434629
Dasypus novemcinctus	-83.654133	9.890246
Saimiri oerstedii	-83.214902	8.588222
Cebus imitator	-82.81159	9.742679
Nasua narica	-85.81067	10.398258
Alouatta palliata	-84.710024	10.43454
Alouatta palliata	-84.741002	10.975128
Alouatta palliata	-84.669254	9.990766
Alouatta palliata	-83.503474	10.536172
Nasua narica	-84.184783	10.285377
Alouatta palliata	-84.124004	10.416383
Sciurus variegatoides	-83.890983	9.838278
Nasua narica	-83.571482	8.432562
Dasyprocta punctata	-83.33892	8.404347
Alouatta palliata	-85.66497	9.955175
Sciurus variegatoides	-84.002564	9.949983
Alouatta palliata	-84.684328	10.46555
Rhynchonycteris naso	-84.19906	9.471945
Cebus imitator	-84.142584	9.381942
Microsciurus alfari	-83.784404	9.760677
Sciurus variegatoides	-83.563965	9.832035
Alouatta palliata	-84.121025	10.415725
Cebus imitator	-84.925214	9.787592
Bradypus variegatus	-85.153122	9.672495
Saimiri oerstedii	-83.66654	8.517888
Sciurus variegatoides	-85.596481	10.714776
Potos flavus	-84.616645	10.382691
Ateles geoffroyi	-85.381311	10.686453
Saccopteryx bilineata	-82.754941	9.654015
Bradypus variegatus	-84.02203	10.423268
Diclidurus albus	-84.598938	9.795636
Eira barbara	-84.01355	10.438417
Bradypus variegatus	-84.136988	9.392308
Saimiri oerstedii	-83.249655	8.592418
Ateles geoffroyi	-83.466513	8.597814
Diclidurus albus	-84.605923	9.781129
Rhynchonycteris naso	-84.005673	10.431765
Nasua narica	-84.728149	10.461214
Desmodus rotundus	-84.800688	10.294672
Sciurus variegatoides	-85.53494	9.882069
Sciurus variegatoides	-85.227917	9.95853
Cebus imitator	-83.435588	8.439745
Dasyprocta punctata	-84.650663	10.470165
Ateles geoffroyi	-83.331202	8.317396
Alouatta palliata	-85.413051	11.060564
Dasypus novemcinctus	-83.672645	9.898703
Alouatta palliata	-85.200924	10.33454
Pecari tajacu	-83.59745	8.47848
Cebus imitator	-83.676638	8.695253
Alouatta palliata	-83.735851	9.163501
Bradypus variegatus	-84.142751	9.384241
Sciurus variegatoides	-84.611449	9.755842
Sciurus granatensis	-83.472924	8.860997
Dasyprocta punctata	-84.824051	10.311475
Alouatta palliata	-82.639349	9.635315
Sciurus variegatoides	-84.104149	9.935723
Bradypus variegatus	-84.142611	9.382113
Bradypus variegatus	-84.145572	9.391527
Sciurus variegatoides	-85.617401	9.906801
Dasyprocta punctata	-85.611628	10.84157
Saimiri oerstedii	-84.006763	9.313738
Nasua narica	-85.67035	10.588933
Tapirella bairdii	-83.527029	8.588497
Nasua narica	-84.626223	9.757502
Tamandua mexicana	-85.707187	10.865282
Nasua narica	-84.795892	10.30225
Sciurus variegatoides	-85.471827	10.354285
Alouatta palliata	-84.709684	10.438276
Nasua narica	-84.815748	10.274997
Uroderma bilobatum	-83.213219	8.726834
Tapirella bairdii	-85.570168	10.745283
Choloepus hoffmanni	-84.792515	10.344713
Procyon lotor	-83.503461	10.542299
Alouatta palliata	-83.351803	10.288046
Ateles geoffroyi	-83.796407	8.633867
Alouatta palliata	-83.504492	10.534664
Nasua narica	-84.171463	10.25393
Cebus imitator	-83.51438	10.528547
Alouatta palliata	-82.724784	9.636335
Nasua narica	-84.707431	10.436095
Dasyprocta punctata	-84.602308	9.772564
Pecari tajacu	-84.003632	10.431177
Procyon lotor	-84.109848	10.000256
Cebus imitator	-83.283775	8.389205
