species	decimalLongitude	decimalLatitude
Cebus imitator	-85.338133	10.342888
Sciurus variegatoides	-84.832761	10.292575
Choloepus hoffmanni	-84.068405	10.451278
Saccopteryx bilineata	-85.658403	10.652117
Rhynchonycteris naso	-85.411025	10.36325
Sciurus variegatoides	-84.078842	9.981668
Sciurus variegatoides	-84.103468	9.935771
Sciurus variegatoides	-83.852686	9.79749
Saimiri oerstedii	-84.048131	9.394742
Choloepus hoffmanni	-84.004753	10.431253
Alouatta palliata	-84.016742	10.473523
Sciurus granatensis	-83.562846	9.832672
Cebus imitator	-83.527535	10.593623
Nasua narica	-83.472311	8.446018
Cebus imitator	-83.49102	8.448943
Cebus imitator	-84.654655	9.661064
Ateles geoffroyi	-83.716027	8.636826
Saimiri oerstedii	-84.033114	9.221907
Odocoileus virginianus	-85.355203	10.348196
Lontra longicaudis	-84.084401	10.586952
Cebus imitator	-83.698124000000007	9.471054
Sciurus granatensis	-83.402901	8.451359
Cebus imitator	-85.338361	10.34518
Rhynchonycteris naso	-84.123508	10.417059
Alouatta palliata	-83.3433	8.400262
Sciurus variegatoides	-84.81515	10.306595
Nasua narica	-84.206771	10.711719
Procyon lotor	-84.142052	9.382231
Cebus imitator	-83.954805	10.469399
Dasypus novemcinctus	-83.506492	10.54977
Sciurus granatensis	-82.838992	9.736527
Ateles geoffroyi	-83.48653	8.439733
Procyon lotor	-84.136992	9.392331
Bradypus variegatus	-85.046626	10.992381
Alouatta palliata	-84.669081	9.990864
Cebus imitator	-83.753428	9.748917
Uroderma bilobatum	-83.204765	8.697328
Nasua narica	-84.810998	10.319473
Nasua narica	-83.435588	8.439745
Choloepus hoffmanni	-83.981487	9.843424
Pecari tajacu	-84.005981	10.431501
Choloepus hoffmanni	-84.894668	10.544457
Cyclopes dorsalis	-84.107246	10.409627
Cebus imitator	-85.330864	10.374667
Bradypus variegatus	-84.067685	10.450247
Cebus imitator	-84.148312	9.390196
Cebus imitator	-84.145255	9.381642
Alouatta palliata	-85.660717	9.936821
Nasua narica	-83.491692	8.86345
Cebus imitator	-83.753428	9.748917
Choloepus hoffmanni	-83.276087	8.470645
Nasua narica	-84.710268	10.437948
Sphiggurus mexicanus	-84.825848	10.327403
Alouatta palliata	-85.822677	10.264123
Pecari tajacu	-83.29393	8.377342
Ateles geoffroyi	-83.289522	8.393657
Nasua narica	-83.295097	8.378003
Dasypus novemcinctus	-84.020523	10.422398
Ateles geoffroyi	-83.4841	8.447168
Alouatta palliata	-84.010826	10.45077
Saimiri oerstedii	-84.141541	9.383694
Ateles geoffroyi	-83.527809	10.584853
Eira barbara	-83.204773	8.697517
Rhynchonycteris naso	-83.853813	10.274194
Alouatta palliata	-83.589821	8.480183
Alouatta palliata	-82.916031	9.800139
Alouatta palliata	-82.753769	9.655817
Puma yagouaroundi	-85.040588	10.138382
Bradypus variegatus	-84.141541	9.383694
Delphinus delphis	-84.042252	9.260469
Dasyprocta punctata	-84.141541	9.383694
Procyon cancrivorus	-82.836578	9.735279
Cebus capucinus	-84.141541	9.383694
Nasua narica	-83.589821	8.480183
Bradypus variegatus	-84.141541	9.383694
Alouatta palliata	-84.603226	9.780622
Alouatta palliata	-83.705238	8.685414
Nasua narica	-85.251328	10.34481
Alouatta palliata	-84.020523	10.422398
Bradypus variegatus	-84.141541	9.383694
Alouatta palliata	-84.728203	10.459622
Cebus capucinus	-84.603226	9.780622
Tapirella bairdii	-83.589821	8.480183
Cebus imitator	-82.73304	9.629102
Alouatta palliata	-85.593506	11.121939
Bradypus variegatus	-84.141541	9.383694
Cebus capucinus	-82.817688	9.737482
Cebus capucinus	-84.603226	9.780622
Nasua narica	-84.796227	10.302279
Dasyprocta punctata	-83.589821	8.480183
Dasyprocta punctata	-84.603477	9.771337
Choloepus hoffmanni	-84.793053	10.344072
Uroderma bilobatum	-84.141541	9.383694
Ateles geoffroyi	-83.589821	8.480183
Alouatta palliata	-84.191444	10.700974
Tamandua mexicana	-84.141541	9.383694
Alouatta palliata	-82.73304	9.629102
Microsciurus alfari	-84.796028	10.343777
Eira barbara	-84.191017	10.699572
Bradypus variegatus	-83.251007	10.183385
Ateles geoffroyi	-84.787262	10.896896
Nasua narica	-83.721313	8.591885
Alouatta palliata	-82.824028	9.729752
Bradypus variegatus	-82.817688	9.737482
Sciurus variegatoides	-85.458183	10.677477
Cebus capucinus	-84.141541	9.383694
Nasua narica	-84.796028	10.343777
Cebus capucinus	-84.728203	10.459622
Ateles geoffroyi	-83.505875	10.547559
Dasyprocta punctata	-85.354156	10.732128
Dasyprocta punctata	-84.141541	9.383694
Noctilio leporinus	-83.505875	10.547559
Nasua narica	-84.485786	10.203117
Alouatta palliata	-85.040588	10.138382
Nasua narica	-83.257828	8.658924
Ateles geoffroyi	-83.528023	8.444865
Dasyprocta punctata	-84.652333	10.45778
Alouatta palliata	-84.008918	10.431634
Choloepus hoffmanni	-83.513597	10.558163
Dasyprocta punctata	-83.591825	8.467221
Bradypus variegatus	-83.920161	10.181947
Alouatta palliata	-85.007339	10.714101
Procyon lotor	-84.069664	9.916058
Cebus imitator	-84.80952	10.30613
Choloepus hoffmanni	-83.591567	8.472255
Bradypus variegatus	-85.056122	10.719277
Dasyprocta punctata	-84.811847	10.307019
Choloepus hoffmanni	-83.504954	10.547873
Lontra longicaudis	-83.487451	10.55939
Alouatta palliata	-82.902285	9.711651
Saimiri oerstedii	-84.132898	9.545189
Cebus imitator	-84.605923	9.781125
Ateles geoffroyi	-83.556889	8.49737
Alouatta palliata	-84.82551	10.274968
Pecari tajacu	-84.896	9.77314
Odocoileus virginianus	-85.617802	10.838485
Saimiri oerstedii	-83.29124	8.483713
Ectophylla alba	-83.806601	10.398433
Alouatta palliata	-84.535632	10.438246
Cebus imitator	-83.676187	8.695395
Nasua narica	-83.198622	8.702745
Cebus imitator	-84.006823	10.458371
Alouatta palliata	-85.660614	9.950901
Choloepus hoffmanni	-83.483852	8.692244
Bradypus variegatus	-84.687376	10.503458
Sciurus variegatoides	-85.851273	10.291981
Dasyprocta punctata	-84.71023	10.437105
Cebus imitator	-83.204765	8.697328
Nasua narica	-84.510421	9.653162
Bradypus variegatus	-84.155385	9.409262
Stenella attenuata	-84.150282	9.387517
Ateles geoffroyi	-84.050181	10.502008
Choloepus hoffmanni	-83.146258	8.54159
